Disease,Medication,Disease_clean
Conjunctivitis due to allergy,"['Antihistamine eye drops (e.g., Olopatadine)', 'Mast cell stabilizers (e.g., Ketotifen)', 'Artificial tears', 'Oral antihistamines', 'Cold compress']",conjunctivitis due allergy
Drug reaction,"['Discontinuation of offending drug', 'Antihistamines (e.g., Diphenhydramine)', 'Corticosteroids', 'Epinephrine (for anaphylaxis)', 'IV fluids and supportive care']",drug reaction
Macular degeneration,"['Anti-VEGF injections (e.g., Ranibizumab, Aflibercept)', 'AREDS2 vitamin supplements', 'Photodynamic therapy', 'Laser therapy (rarely)', 'Low vision aids']",macular degeneration
Pneumonia,"['Antibiotics (e.g., Azithromycin, Ceftriaxone)', 'Antivirals (e.g., Oseltamivir if viral)', 'Expectorants', 'Fever reducers (e.g., Acetaminophen)', 'Oxygen therapy if needed']",pneumonia
Vaginal cyst,"['Warm compress', 'Sitz bath', 'Antibiotics (if infected)', 'Surgical drainage (if large or recurrent)', 'Analgesics for pain']",vaginal cyst
Carpal tunnel syndrome,"['Wrist splint', 'NSAIDs', 'Corticosteroid injections', 'Gabapentin (if nerve pain)', 'Surgical decompression (if severe)']",carpal tunnel syndrome
Nose disorder,"['Nasal decongestants (e.g., Oxymetazoline)', 'Antihistamines', 'Saline nasal spray', 'Intranasal corticosteroids', 'Antibiotics (if bacterial infection)']",nose disorder
Dental caries,"['Fluoride toothpaste or gel', 'Dental fillings', 'Chlorhexidine mouth rinse', 'Analgesics for pain', 'Root canal therapy (if advanced)']",dental caries
Hypertensive heart disease,"['ACE inhibitors (e.g., Lisinopril)', 'Beta-blockers (e.g., Metoprolol)', 'Diuretics (e.g., Furosemide)', 'Calcium channel blockers (e.g., Amlodipine)', 'Lifestyle modification']",hypertensive heart disease
Seasonal allergies (hay fever),"['Oral antihistamines (e.g., Cetirizine)', 'Intranasal corticosteroids (e.g., Fluticasone)', 'Leukotriene receptor antagonists (e.g., Montelukast)', 'Nasal saline rinses', 'Allergy immunotherapy']",seasonal allergy hay fever
Fungal infection of the hair,"['Griseofulvin (oral)', 'Terbinafine (oral)', 'Ketoconazole shampoo', 'Selenium sulfide shampoo', 'Itraconazole']",fungal infection hair
Rectal disorder,"['Hydrocortisone suppositories', 'Laxatives (e.g., Lactulose)', 'Fiber supplements', 'Sitz baths', 'Surgical intervention (e.g., hemorrhoidectomy if needed)']",rectal disorder
Stye,"['Warm compresses', 'Topical antibiotic ointment (e.g., Erythromycin)', 'Oral antibiotics (if spreading)', 'Pain relievers', 'Incision and drainage (if abscess forms)']",stye
Heart attack,"['Aspirin', 'Nitroglycerin', 'Beta-blockers (e.g., Metoprolol)', 'ACE inhibitors', 'Thrombolytics or PCI (percutaneous coronary intervention)']",heart attack
Obstructive sleep apnea (OSA),"['CPAP (Continuous Positive Airway Pressure)', 'Weight loss', 'Mandibular advancement device', 'Modafinil (for residual sleepiness)', 'Surgery (e.g., UPPP, if indicated)']",obstructive sleep apnea osa
Psoriasis,"['Topical corticosteroids', 'Vitamin D analogs (e.g., Calcipotriol)', 'Methotrexate', 'Biologics (e.g., Adalimumab)', 'Phototherapy (UVB)']",psoriasis
Arthritis of the hip,"['NSAIDs', 'Corticosteroid injections', 'Physical therapy', 'Glucosamine supplements', 'Hip replacement surgery (in advanced cases)']",arthritis hip
Sickle cell crisis,"['Hydroxyurea', 'Folic acid', 'Pain management (e.g., Morphine)', 'IV fluids', 'Blood transfusions (if needed)']",sickle cell crisis
otitis externa (swimmer's ear),"['Topical antibiotic ear drops (e.g., Ciprofloxacin + Hydrocortisone)', 'Acidifying drops (e.g., Acetic acid)', 'Analgesics', 'Ear wick for deep infections', 'Avoid water exposure']",otitis externa swimmer ear
Acute bronchiolitis,"['Supportive care', 'Nasal suctioning', 'Saline nebulization', 'Oxygen therapy (if hypoxic)', 'Antipyretics (e.g., Paracetamol)']",acute bronchiolitis
Pyogenic skin infection,"['Oral antibiotics (e.g., Cephalexin, Clindamycin)', 'Topical antibiotics (e.g., Mupirocin)', 'Incision and drainage', 'Antiseptic cleansing', 'Pain management']",pyogenic skin infection
Noninfectious gastroenteritis,"['Antiemetics (e.g., Ondansetron)', 'Antispasmodics (e.g., Dicyclomine)', 'Probiotics', 'Hydration therapy', 'Dietary changes (BRAT diet)']",noninfectious gastroenteritis
Benign prostatic hyperplasia (BPH),"['Alpha blockers (e.g., Tamsulosin)', '5-alpha reductase inhibitors (e.g., Finasteride)', 'Tadalafil (for symptoms)', 'Surgical options (e.g., TURP)', 'Lifestyle changes']",benign prostatic hyperplasia bph
Spinal stenosis,"['NSAIDs', 'Physical therapy', 'Epidural steroid injections', 'Gabapentin or Pregabalin', 'Surgical decompression (e.g., laminectomy)']",spinal stenosis
Acute bronchitis,"['Cough suppressants (e.g., Dextromethorphan)', 'Expectorants (e.g., Guaifenesin)', 'Bronchodilators (if wheezing)', 'NSAIDs', 'Antibiotics (only if bacterial suspected)']",acute bronchitis
Croup,"['Dexamethasone (oral or IM)', 'Nebulized epinephrine', 'Humidified air', 'Antipyretics', 'Hydration']",croup
Idiopathic excessive menstruation,"['Tranexamic acid', 'NSAIDs (e.g., Mefenamic acid)', 'Oral contraceptives', 'Levonorgestrel-releasing IUD', 'Iron supplements']",idiopathic excessive menstruation
Ear drum damage,"['Antibiotic ear drops (if infection)', 'Oral antibiotics (if needed)', 'Avoid water entry', 'Pain relief (e.g., Acetaminophen)', 'Tympanoplasty (if persistent perforation)']",ear drum damage
Temporary or benign blood in urine,"['Hydration therapy', 'Avoid strenuous exercise', 'Adjust anticoagulants (if relevant)', 'Monitor kidney function', 'Reassurance and follow-up']",temporary benign blood urine
Common cold,"['Paracetamol', 'Ibuprofen', 'Decongestants (e.g., Pseudoephedrine)', 'Antihistamines', 'Cough syrups (e.g., Dextromethorphan)']",common cold
Depression,"['SSRIs (e.g., Sertraline, Escitalopram)', 'SNRIs (e.g., Venlafaxine)', 'Atypical antidepressants (e.g., Bupropion)', 'Cognitive Behavioral Therapy (CBT)', 'Psychotherapy']",depression
Idiopathic irregular menstrual cycle,"['Combined oral contraceptives', 'Progestins', 'Metformin (if PCOS-related)', 'Lifestyle modification', 'Clomiphene (for ovulation induction)']",idiopathic irregular menstrual cycle
Schizophrenia,"['Antipsychotics (e.g., Risperidone, Olanzapine)', 'Clozapine (treatment-resistant cases)', 'Cognitive behavioral therapy', 'Long-acting injectables', 'Psychosocial support']",schizophrenia
Sepsis,"['IV broad-spectrum antibiotics (e.g., Piperacillin-tazobactam)', 'IV fluids', 'Vasopressors (e.g., Norepinephrine)', 'Oxygen therapy', 'Source control (e.g., drainage of abscess)']",sepsis
Cholecystitis,"['IV antibiotics (e.g., Ceftriaxone + Metronidazole)', 'Pain relievers (e.g., Morphine)', 'IV fluids', 'NPO (nothing by mouth)', 'Cholecystectomy (surgical removal of gallbladder)']",cholecystitis
Cystitis,"['Nitrofurantoin', 'Trimethoprim-sulfamethoxazole', 'Fosfomycin', 'Phenazopyridine (for pain relief)', 'Hydration']",cystitis
Hemorrhoids,"['Topical hydrocortisone cream', 'Witch hazel pads', 'Stool softeners (e.g., Docusate)', 'Sitz baths', 'Surgical procedures (e.g., rubber band ligation)']",hemorrhoid
Contact dermatitis,"['Topical corticosteroids (e.g., Hydrocortisone)', 'Oral antihistamines', 'Moisturizers', 'Avoidance of allergen/irritant', 'Oral corticosteroids (if severe)']",contact dermatitis
Sinus bradycardia,"['Atropine (acute cases)', 'Temporary or permanent pacemaker (if symptomatic)', 'Adjust medications (if drug-induced)', 'Isoproterenol infusion (if needed)', 'Monitor ECG']",sinus bradycardia
Pelvic inflammatory disease,"['Ceftriaxone + Doxycycline + Metronidazole', 'Pain relievers', 'Hospitalization (for severe cases)', 'Partner treatment', 'Abstain from intercourse during treatment']",pelvic inflammatory disease
Liver disease,"['Lactulose (for hepatic encephalopathy)', 'Diuretics (e.g., Spironolactone)', 'Vitamin K (if coagulopathy)', 'Ursodeoxycholic acid', 'Antivirals (e.g., Tenofovir for HBV)']",liver disease
Chronic constipation,"['Laxatives (e.g., Polyethylene glycol)', 'Stool softeners (e.g., Docusate)', 'Fiber supplements (e.g., Psyllium)', 'Osmotic agents (e.g., Lactulose)', 'Prokinetics']",chronic constipation
Skin polyp,"['Cryotherapy', 'Electrosurgical removal', 'Snare excision', 'Topical anesthesia', 'Histopathology (to rule out malignancy)']",skin polyp
Brachial neuritis,"['NSAIDs', 'Oral corticosteroids', 'Gabapentin or Pregabalin', 'Physical therapy', 'Pain management']",brachial neuritis
Esophagitis,"['Proton Pump Inhibitors (e.g., Omeprazole)', 'H2 Blockers (e.g., Ranitidine)', 'Sucralfate', 'Antifungal or antiviral agents (if infectious)', 'Dietary changes']",esophagitis
Diverticulitis,"['Antibiotics (e.g., Ciprofloxacin + Metronidazole)', 'Clear liquid diet (during flare)', 'Pain relievers', 'High-fiber diet (after recovery)', 'Surgery (if complications)']",diverticulitis
Sprain or strain,"['RICE (Rest, Ice, Compression, Elevation)', 'NSAIDs (e.g., Ibuprofen)', 'Muscle relaxants', 'Physical therapy', 'Immobilization (if needed)']",sprain strain
Idiopathic painful menstruation,"['NSAIDs (e.g., Ibuprofen)', 'Oral contraceptives', 'Heat therapy', 'Vitamin B1 and magnesium supplements', 'Physical activity']",idiopathic painful menstruation
Eustachian tube dysfunction (ear disorder),"['Nasal decongestants', 'Nasal corticosteroids', 'Auto-inflation (e.g., Valsalva maneuver)', 'Antihistamines', 'Surgical placement of ear tubes (in severe cases)']",eustachian tube dysfunction ear disorder
Appendicitis,"['Surgical removal (Appendectomy)', 'Pre-operative antibiotics (e.g., Ceftriaxone + Metronidazole)', 'Pain management', 'IV fluids', 'NPO status before surgery']",appendicitis
Hyperemesis gravidarum,"['IV fluids and electrolytes', 'Vitamin B6 (Pyridoxine)', 'Antiemetics (e.g., Ondansetron, Promethazine)', 'Thiamine supplementation', 'Nutritional support (e.g., TPN if severe)']",hyperemesis gravidarum
Urinary tract infection,"['Nitrofurantoin', 'Ciprofloxacin', 'Trimethoprim-sulfamethoxazole', 'Cranberry supplements', 'Hydration therapy']",urinary tract infection
Peripheral nerve disorder,"['Gabapentin', 'Pregabalin', 'Amitriptyline', 'Physical therapy', 'Alpha-lipoic acid (as supplement)']",peripheral nerve disorder
Sebaceous cyst,"['Warm compress', 'Incision and drainage (if infected)', 'Antibiotics (if signs of infection)', 'Surgical excision', 'Steroid injection (if inflamed)']",sebaceous cyst
Spontaneous abortion,"['Misoprostol (to complete expulsion)', 'Mifepristone + Misoprostol (in selected cases)', 'Dilation and curettage (if needed)', 'Rh immunoglobulin (if Rh-negative)', 'Emotional support and counseling']",spontaneous abortion
Gallstone,"['Ursodeoxycholic acid (in some cases)', 'Pain relievers (e.g., NSAIDs)', 'Cholecystectomy (surgical removal)', 'Antibiotics (if cholecystitis)', 'Dietary modifications']",gallstone
Multiple sclerosis,"['Interferon beta', 'Glatiramer acetate', 'Natalizumab', 'Corticosteroids (for flare-ups)', 'Disease-modifying therapies (e.g., Fingolimod)']",multiple sclerosis
Angina,"['Nitroglycerin (sublingual)', 'Beta-blockers', 'Calcium channel blockers', 'Aspirin', 'Statins']",angina
Skin pigmentation disorder,"['Hydroquinone cream', 'Topical retinoids', 'Azelaic acid', 'Chemical peels', 'Laser therapy (for resistant cases)']",skin pigmentation disorder
Personality disorder,"['Psychotherapy (e.g., DBT for BPD)', 'SSRIs (for mood symptoms)', 'Mood stabilizers (e.g., Lithium)', 'Antipsychotics (in some cases)', 'Group therapy']",personality disorder
Strep throat,"['Penicillin', 'Amoxicillin', 'Azithromycin (if allergic to penicillin)', 'Analgesics (e.g., Acetaminophen)', 'Salt water gargles']",strep throat
Developmental disability,"['Speech therapy', 'Occupational therapy', 'Behavioral therapy', 'Medications (e.g., Risperidone for irritability in autism)', 'Special education programs']",developmental disability
Chronic back pain,"['NSAIDs', 'Muscle relaxants', 'Physical therapy', 'Epidural steroid injections', 'Chronic pain management (e.g., TENS, acupuncture)']",chronic back pain
Heart failure,"['ACE inhibitors', 'Beta-blockers', 'Loop diuretics (e.g., Furosemide)', 'Aldosterone antagonists (e.g., Spironolactone)', 'Digoxin (in some cases)']",heart failure
Conjunctivitis,"['Antibiotic eye drops (e.g., Erythromycin, Moxifloxacin)', 'Antiviral drops (e.g., Ganciclovir for herpes)', 'Lubricant drops', 'Antihistamines (for allergic type)', 'Cool compresses']",conjunctivitis
Herniated disk,"['NSAIDs', 'Physical therapy', 'Muscle relaxants', 'Steroid injections', 'Surgical discectomy (if severe)']",herniated disk
Diaper rash,"['Zinc oxide cream', 'Petroleum jelly', 'Topical antifungals (e.g., Clotrimazole)', 'Hydrocortisone cream (short-term)', 'Frequent diaper changes']",diaper rash
Eczema,"['Topical corticosteroids', 'Emollients/Moisturizers', 'Antihistamines (for itching)', 'Calcineurin inhibitors (e.g., Tacrolimus)', 'Phototherapy (in severe cases)']",eczema
